set_number,set_name,year_released,number_of_parts,theme_name
6065102-1,Mixels Series 3 - Sealed Box,2014,0,Mixels
6102131-1,Mixels Series 4 - Sealed Box,2015,0,Mixels
6102139-1,Mixels Series 5 - Sealed Box,2015,0,Mixels
6102148-1,Mixels Series 6 - Sealed Box,2015,0,Mixels
6139025-1,Mixels Series 7 - Sealed Box,2016,0,Mixels
6139030-1,Mixels Series 8 - Sealed Box,2016,0,Mixels
6139034-1,Mixels Series 9 - Sealed Box,2016,0,Mixels
21204-1,Town Master,2014,256,Fusion
21205-1,Battle Towers,2014,212,Fusion
21206-1,Create and Race,2014,223,Fusion
21208-1,Resort Designer,2014,262,Fusion
10659-2,Vehicle Suitcase,2014,152,Juniors
10660-1,Pink Suitcase,2013,157,Juniors
10666-1,Digger,2014,75,Juniors
10667-1,Construction,2014,160,Juniors
10668-1,Princess Play Castle,2014,150,Juniors
10669-1,Turtle Lair,2014,107,Juniors
10671-1,Fire Emergency,2014,123,Juniors
10673-1,Race Car Rally,2014,350,Juniors
10674-1,Pony Farm,2014,306,Juniors
10675-1,Police – The Big Escape,2014,146,Juniors
10676-1,Knights' Castle,2014,480,Juniors
10677-1,Beach Trip,2015,74,Juniors
10679-1,Pirate Treasure Hunt,2015,57,Juniors
10680-1,Garbage Truck,2015,99,Juniors
10683-1,Road Work Truck,2015,132,Juniors
10684-1,Supermarket Suitcase,2015,140,Juniors
10685-1,Fire Suitcase,2015,130,Juniors
10686-1,Family House,2015,226,Juniors
10720-1,Police Helicopter Chase,2016,63,Juniors
10734-1,Demolition Site,2017,175,Juniors
10735-1,Police Truck Chase,2017,90,Juniors
10736-1,Anna & Elsa's Frozen Playground,2017,94,Juniors
10740-1,Fire Patrol Suitcase,2017,116,Juniors
10750-1,Road Repair Truck,2018,73,Juniors
10751-1,Mountain Police Chase,2018,115,Juniors
10759-1,Elastigirl's Rooftop Pursuit,2018,95,Juniors
10760-1,Underminer Bank Heist,2018,149,Juniors
10761-1,The Great Home Escape,2018,178,Juniors
10764-1,City Central Airport,2018,376,Juniors
30338-1,Fire Car,2017,32,Juniors
30339-1,Traffic Light Patrol,2018,34,Juniors
30473-1,Racer,2016,30,Juniors
10672-1,Batman: Defend the Batcave,2014,150,DC
10724-1,Batman & Superman vs. Lex Luthor,2016,164,DC
10737-1,Batman vs. Mr. Freeze,2017,64,DC
10753-1,The Joker Batcave Attack,2018,151,DC
10723-1,Ariel's Dolphin Carriage,2016,70,Disney
10729-1,Cinderella's Carriage,2016,116,Disney
10738-1,Snow White's Forest Cottage,2017,67,Disney
10762-1,Belle's Story Time,2018,87,Disney
10765-1,Ariel's Underwater Concert,2018,92,Disney
10726-1,Stephanie's Horse Carriage,2016,58,Friends
10727-1,Emma's Ice Cream Truck,2016,136,Friends
10728-1,Mia's Vet Clinic,2016,182,Friends
10746-1,Mia's Farm Suitcase,2017,106,Friends
10747-1,Andrea and Stephanie's Beach Holiday,2017,144,Friends
10748-1,Emma's Pet Party,2018,67,Friends
10749-1,Mia's Organic Food Market,2018,115,Friends
10763-1,Stephanie's Lakeside House,2018,215,Friends
10665-1,Spider-Man: Spider-Car Pursuit,2014,55,Marvel
10687-1,Spider-Man Hideout,2015,137,Marvel
10721-1,Iron Man vs. Loki,2016,66,Marvel
10754-1,Spider-Man vs. Scorpion Street Showdown,2018,125,Marvel
10722-1,Snake Showdown,2016,92,Ninjago
10725-1,Lost Temple,2016,172,Ninjago
10739-1,Shark Attack,2017,108,Ninjago
10755-1,Zane's Ninja Boat Pursuit,2018,132,Ninjago
1294-1,Fire Helicopter,2000,31,Promotional
1295-1,Water Rider,2000,30,Promotional
1296-1,Land Scooper,2000,31,Promotional
1297-1,Speed Patroller,2000,34,Promotional
1929-1,Guardsman,1988,13,Promotional
21200-1,Life of George,2011,146,Promotional
21201-1,Life of George II,2012,145,Promotional
30503-1,Build Your Own Animals - Make It Yours,2022,16,Promotional
40077-1,Geoffrey,2013,90,Promotional
40127-2,UNIQLO Mystery Bag [Space Shuttle],2016,39,Promotional
40128-2,UNIQLO Mystery Bag [Robot],2016,50,Promotional
40130-2,UNIQLO Mystery Bag [Koala],2016,65,Promotional
40131-2,UNIQLO Mystery Bag [Parrot],2016,55,Promotional
40190-1,F138,2014,42,Promotional
40191-1,F12berlinetta,2014,45,Promotional
40192-1,250 GTO,2014,47,Promotional
40193-1,512 S,2014,50,Promotional
40194-1,Finish Line & Podium,2014,64,Promotional
40195-1,Shell Station,2014,80,Promotional
40196-1,Shell Tanker,2014,94,Promotional
40200-1,BMW Racer,2013,30,Promotional
40225-1,Rio 2016 Mascots,2016,197,Promotional
40228-1,Geoffrey & Friends,2016,133,Promotional
40256-1,Create The World,2017,111,Promotional
40290-1,60 Years of the LEGO Brick,2018,421,Promotional
40291-1,Creative Personalities,2018,307,Promotional
40370-1,40 Years of LEGO Trains,2020,188,Promotional
40409-1,Hot Rod,2020,142,Promotional
40411-1,12 in 1 Rebuild Into,2020,240,Promotional
40432-1,Rebuild the World Minifigure,2019,3,Promotional
40450-1,Amelia Earhart Tribute,2021,203,Promotional
40485-1,FC Barcelona Celebration,2021,178,Promotional
40486-1,Adidas Originals Superstar,2021,92,Promotional
40512-1,Fun and Funky VIP Add On Pack,2021,148,Promotional
40513-1,Spooky VIP Add On Pack,2021,119,Promotional
40514-1,Winter Wonderland VIP Add On Pack,2021,139,Promotional
40515-1,Pirates and Treasure VIP Add On Pack,2022,103,Promotional
40529-1,Children's Amusement Park,2022,170,Promotional
40530-1,Jane Goodall Tribute,2022,276,Promotional
40532-1,Vintage Taxi,2022,163,Promotional
40563-1,Tribute to LEGO House,2022,583,Promotional
40564-1,Winter Elves Scene,2022,372,Promotional
40567-1,Forest Hideout,2022,258,Promotional
40574-1,LEGO Brand Store,2022,541,Promotional
40579-1,Eiffel's Appartement,2022,228,Promotional
40580-1,Blacktron Cruiser,2023,356,Promotional
40581-1,BIONICLE Tahu and Takua,2023,219,Promotional
40583-1,Houses of the World 1,2023,348,Promotional
40585-1,World of Wonders,2023,382,Promotional
40586-1,Moving Truck,2023,301,Promotional
40588-1,Flowerpot,2023,292,Promotional
40589-1,Pirate Ship Playground,2023,168,Promotional
40590-1,Houses of the World 2,2023,270,Promotional
40593-1,Fun Creativity 12-in-1,2023,279,Promotional
40594-1,Houses of the World 3,2023,278,Promotional
40605-1,Lunar New Year VIP Add-On Pack,2023,124,Promotional
40606-1,Spring Fun VIP Add-On Pack,2023,128,Promotional
40607-1,Summer Fun VIP Add-On Pack,2023,120,Promotional
5005358-1,Minifigure Factory,2018,85,Promotional
5005359-1,Minifigure Collector Frame,2018,55,Promotional
5005747-1,Black VIP Frame (Card Display),2018,42,Promotional
5005880-1,Children's Day Lucky Box,2019,0,Promotional
5006085-1,Buildable 2x4 Red Brick,2019,72,Promotional
5006171-1,The United Trinity Statue,2020,37,Promotional
5006291-1,Buildable 2x4 Teal Brick,2020,110,Promotional
5006293-1,Chariot,2020,127,Promotional
5006744-1,Ulysses Space Probe,2021,236,Promotional
5006745-1,Carousel,2021,136,Promotional
5006746-1,Swing Ship Ride,2021,152,Promotional
5006890-1,Rebuildable Flying Car,2021,113,Promotional
5006911-1,Vintage Camera,2021,179,Promotional
5007538-1,Pinball Machine,2020,102,Promotional
5007539-1,Idea Generator,2019,128,Promotional
5007869-1,Portable Cassette Player,2023,0,Promotional
6258618-1,60th Anniversary Red Pencil Pot,2018,266,Promotional
6258619-1,60th Anniversary Yellow Pencil Pot,2018,307,Promotional
6258620-1,60th Anniversary Classic Wooden Duck,2018,76,Promotional
6258622-1,60th Anniversary Classic Wooden Bus,2018,112,Promotional
6258623-1,60th Anniversary Classic Wooden Train,2018,68,Promotional
6258624-1,60th Anniversary Classic Truck,2018,71,Promotional
6277552-1,Birthday Cake,2019,30,Promotional
6294336-1,Junk Boat,2019,100,Promotional
6299401-1,Welsh Corgi,2018,104,Promotional
6311302-1,Holly the Rat,2020,36,Promotional
6317939-1,Peach Flower Vase,2020,160,Promotional
6336798-1,Summer Arcade,2020,93,Promotional
6336800-1,Ice Hockey,2020,146,Promotional
6336801-1,Bumper Cars,2020,92,Promotional
6338738-1,Happy Children's Day,2020,140,Promotional
6339339-1,Gift Box for Double Eleven,2020,130,Promotional
6349566-1,Snowflake,2020,97,Promotional
6351965-1,Rickshaw and Paifang Gateway,2021,168,Promotional
6374338-1,Swing Ship Ride,2021,152,Promotional
6384705-1,TMALL 1st Anniversary Exclusive Set,2021,9,Promotional
6411312-1,Grill,2022,36,Promotional
6411320-1,Book,2015,72,Promotional
6412192-1,Red Rose,2022,26,Promotional
6426244-1,90th Anniversary Mini Castle,2022,158,Promotional
6436693-1,Buildable 2 x 2 Red Brick,2022,66,Promotional
6451545-1,Sewing Machine,2022,41,Promotional
6451546-1,Thread,2022,19,Promotional
6453332-1,Rose,2023,23,Promotional
6464602-1,Cake,2023,36,Promotional
94107-1,Developer,2021,82,Promotional
BONSAI-1,55cm Bonsai Tree Model,2021,0,Promotional
BOWDOIN-1,Bowdoin Polar Bear,2013,36,Promotional
Bricktober-1,Toys 'R' Us Bricktober Promotional Brick Set,2009,6,Promotional
CAPITOL-1,Capitol Building,2015,36,Promotional
DACHSHUND-1,Dachshund,2018,104,Promotional
ELEPHANT-1,Elephant,2019,11,Promotional
FBULLDOG-1,French Bulldog,2018,0,Promotional
FLOWER-1,Flower,2019,17,Promotional
FOOTSHOP-1,Footshop Meets Adidas & LEGO Special Custom Re-build Kit,2021,245,Promotional
FRAME-1,Picture Frame,2019,44,Promotional
GIANTS2015-1,Baseball Player,2015,38,Promotional
GIANTS2016-1,Lou Seal,2016,60,Promotional
GLADIATOR-1,Ancient Rome Comes Back To Life,2020,9,Promotional
INDEPENDENCEHALL-1,Independence Hall,2015,68,Promotional
JEFFERSONMEMORIAL-1,Jefferson Memorial,2015,50,Promotional
ldd3-1,LEGO Digital Designer Promo,2009,3,Promotional
LIBERTY-1,Lady Liberty Model,2021,0,Promotional
LIBERTYBELL-1,Liberty Bell,2015,40,Promotional
LIFECEREAL-1,Puppet Set,1969,92,Promotional
LINCOLNMEMORIAL-1,Lincoln Memorial,2015,58,Promotional
LWP01-1,LEGO World Denmark Puzzle Promo,2009,7,Promotional
LWP02-1,LEGO World Zwolle Puzzle Promo 2009,2009,7,Promotional
LWP03-1,LEGO World Denmark Puzzle Promo 2010,2010,7,Promotional
LWP04-1,LEGO World Denmark Puzzle Promo 2011,2011,7,Promotional
LWP05-1,LEGO World Denmark Puzzle Promo 2012,2012,7,Promotional
LWP06-1,LEGO World Denmark Puzzle Promo 2013,2013,7,Promotional
MLN09-1,My LEGO Network Promo,2009,3,Promotional
MMOUTON-1,Michele Mouton (Michèle Mouton),2020,4,Promotional
MYSTERYBOX-1,Mystery Box 1 - Cars,2018,0,Promotional
MYSTERYBOX-2,Mystery Box 2 - Animals,2018,65,Promotional
MYSTERYBOX-3,Mystery Box 3 - Space,2018,65,Promotional
OLDNORTHCHURCH-1,Old North Church,2014,35,Promotional
PBKFIRE-1,Fire Station,2013,59,Promotional
REDSOX2016-1,Red Sox Player,2016,40,Promotional
REDSOX2019-1,Wally,2019,56,Promotional
RHINO-1,South African Rhino,2022,0,Promotional
ROSE2-1,Rose,2020,26,Promotional
shell98small-1,Shell Town 1998 Promotional (complete set),1998,0,Promotional
STATUEOFLIBERTY-1,Statue of Liberty,2015,59,Promotional
SUPREMECOURT-1,Supreme Court,2015,44,Promotional
TRUSANTA-1,Santa at the Beach,2014,37,Promotional
UNITY-1,Unity x Lego Minifigure,2021,8,Promotional
WAHINGTONMONUMENT-1,Washington Monument,2015,36,Promotional
WHITEHOUSE-1,White House,2015,59,Promotional
YTERRIER-1,Yorkshire Terrier,2018,0,Promotional
2008-1,Heart 2008,2008,92,LEGO Exclusive
2009-2,Heart 2009,2009,92,LEGO Exclusive
2010-2,Happy Holidays - The Christmas Game,2010,139,LEGO Exclusive
2011-2,LEGO Duck,2011,91,LEGO Exclusive
4000000-1,Cars,2010,407,LEGO Exclusive
4000001-1,Moulding Machines,2011,795,LEGO Exclusive
4000002-1,LOM Moulding,2011,174,LEGO Exclusive
4000004-1,Systematic Creativity Toolbox,2012,47,LEGO Exclusive
4000005-1,KOM Moulding,2012,315,LEGO Exclusive
4000006-1,Kladno Campus (2012 Version),2012,278,LEGO Exclusive
4000007-1,Ole Kirk's House (LEGO Employee Christmas Gift Version),2012,910,LEGO Exclusive
4000008-1,Villy Thomsen Truck,2013,367,LEGO Exclusive
4000009-1,HMV Production,2013,285,LEGO Exclusive
4000011-1,Nyíregyháza Factory,2014,327,LEGO Exclusive
4000012-1,Piper Airplane,2012,618,LEGO Exclusive
4000013-1,A LEGO Christmas Tale,2013,435,LEGO Exclusive
4000014-1,The LEGOLAND Train (LEGO Inside Tour Version),2014,546,LEGO Exclusive
4000015-1,LOM Building B,2014,215,LEGO Exclusive
4000018-1,Kladno Campus (2015 Version),2015,412,LEGO Exclusive
4000019-1,Brand Identity and Experience,2014,103,LEGO Exclusive
4000020-1,"H.C. Andersen's ""Clumsy Hans"" by D.H. Design (LEGO Inside Tour Version)",2015,714,LEGO Exclusive
4000022-1,LEGO Truck Show,2016,811,LEGO Exclusive
4000023-1,Jiaxing Factory,2016,407,LEGO Exclusive
4000024-1,LEGO House Tree of Creativity,2017,1007,LEGO Exclusive
4000025-1,Ferguson Tractor,2018,446,LEGO Exclusive
4000026-1,Tree of Creativity,2018,840,LEGO Exclusive
4000034-1,The LEGO System House,2019,998,LEGO Exclusive
4000036-1,The Playful 5 Minifigure Set,2019,39,LEGO Exclusive
4000037-1,LEGO Factory AGV,2022,0,LEGO Exclusive
4000040-1,LEGO Fire Engine,2023,1056,LEGO Exclusive
4002014-1,LEGO HUB Birds,2014,466,LEGO Exclusive
4002015-1,Borkum Riffgrund 1,2015,559,LEGO Exclusive
4002016-1,50 Years On Track,2016,1141,LEGO Exclusive
4002017-1,Nutcracker,2017,732,LEGO Exclusive
4002018-1,Santa and Reindeer,2018,1099,LEGO Exclusive
4002019-1,Yuletide Squadron Xmas-Wing Starfighter,2019,1038,LEGO Exclusive
4002020-1,Celebrating 40 Years of Hands-on Learning,2020,919,LEGO Exclusive
4002021-1,The Temple of Celebrations,2021,1312,LEGO Exclusive
40295-1,LEGO House - Chef,2017,6,LEGO Exclusive
40296-1,Build Your Meal,2017,19,LEGO Exclusive
40297-1,LEGO House 6 Bricks (DUPLO),2017,6,LEGO Exclusive
40356-1,LEGO House - Chef,2019,7,LEGO Exclusive
40366-1,LEGO House Dinosaurs,2019,865,LEGO Exclusive
40394-1,LEGO House - MINI Chef,2020,6,LEGO Exclusive
40458-1,LEGO House - Chef,2021,7,LEGO Exclusive
40501-1,The Wooden Duck,2020,621,LEGO Exclusive
40502-1,The Brick Moulding Machine,2021,1205,LEGO Exclusive
40503-1,Dagny Holm - Master Builder,2022,1072,LEGO Exclusive
40504-1,A Minifigure Tribute,2023,1041,LEGO Exclusive
40534-1,LEGO House - Chef,2022,8,LEGO Exclusive
5007713-1,LEGO Masters Mini Build 'Black and White Color Variant',2021,0,LEGO Exclusive
6168272-1,LEGO House Fan Pre-Opening,2017,26,LEGO Exclusive
624210-1,LEGO House 6 Bricks,2017,6,LEGO Exclusive
6386182-1,LEGO Masters Mini Build,2021,107,LEGO Exclusive
LHGO-1,LEGO House Grand Opening,2017,26,LEGO Exclusive
LIT2005-1,LECA Automobile,2005,0,LEGO Exclusive
LIT2007-1,Market Street (LEGO Inside Tour Version),2007,1250,LEGO Exclusive
LIT2009-1,Ole Kirk's House (LEGO Inside Tour Version),2009,910,LEGO Exclusive
241501-1,Enki the Panther,2015,14,Elves
241502-1,Flamy the Fox,2015,12,Elves
241601-1,Miku the Dragon,2016,12,Elves
241602-1,Jynx The Witch's Cat,2016,26,Elves
241701-1,Mr. Spry and His Lemonade Stand,2017,20,Elves
241702-1,Hidee the Chameleon,2017,19,Elves
30259-1,Azari's Magic Fire,2015,27,Elves
30375-1,Sira's Adventurous Airglider,2016,24,Elves
41071-1,Aira's Creative Workshop,2015,98,Elves
41072-1,Naida's Spa Secret,2015,249,Elves
41073-1,Naida's Epic Adventure Ship,2015,312,Elves
41074-1,Azari and the Magical Bakery,2015,324,Elves
41075-1,The Elves' Treetop Hideaway,2015,517,Elves
41076-1,Farran and the Crystal Hollow,2015,178,Elves
41077-1,Aira's Pegasus Sleigh,2015,319,Elves
41078-1,Skyra's Mysterious Sky Castle,2015,814,Elves
41171-1,Emily Jones & the Baby Wind Dragon,2016,80,Elves
41172-1,The Water Dragon Adventure,2016,212,Elves
41173-1,Elvendale School of Dragons,2016,231,Elves
41174-1,The Starlight Inn,2016,347,Elves
41175-1,Fire Dragon's Lava Cave,2016,441,Elves
41176-1,The Secret Market Place,2016,701,Elves
41177-1,The Precious Crystal Mine,2016,273,Elves
41178-1,The Dragon Sanctuary,2016,588,Elves
41179-1,Queen Dragon's Rescue,2016,836,Elves
41180-1,Ragana's Magic Shadow Castle,2016,1016,Elves
41181-1,Naida's Gondola & the Goblin Thief,2017,67,Elves
41182-1,The Capture of Sophie Jones,2017,226,Elves
41183-1,The Goblin King's Evil Dragon,2017,339,Elves
41184-1,Aira's Airship & the Amulet Chase,2017,343,Elves
41185-1,Magic Rescue from the Goblin Village,2017,637,Elves
41186-1,Azari & the Goblin Forest Escape,2017,145,Elves
41187-1,Rosalyn's Healing Hideout,2017,460,Elves
41188-1,Breakout from the Goblin King's Fortress,2017,696,Elves
41190-1,Emily Jones & the Eagle Getaway,2018,149,Elves
41191-1,Naida & the Water Turtle Ambush,2018,205,Elves
41192-1,Azari & the Fire Lion Capture,2018,360,Elves
41193-1,Aira & the Song of the Wind Dragon,2018,451,Elves
41194-1,Noctura's Tower & the Earth Fox Rescue,2018,648,Elves
41195-1,Emily & Noctura's Showdown,2018,652,Elves
41196-1,The Elvenstar Tree Bat Attack,2018,883,Elves
5004819-1,Elves Collection,2015,0,Elves
30342-1,Lamborghini Huracán Super Trofeo EVO,2020,70,Speed Champions
30343-1,McLaren Elva,2021,86,Speed Champions
30434-1,Aston Martin Valkyrie AMR Pro,2022,97,Speed Champions
30657-1,McLaren Solus GT,2023,95,Speed Champions
5004550-1,Speed Champions Collection,2015,0,Speed Champions
5004559-1,Speed Champions Collection 2,2015,0,Speed Champions
66647-1,Speed Champions Bundle,2020,0,Speed Champions
75870-1,Chevrolet Corvette Z06,2016,176,Speed Champions
75871-1,Ford Mustang GT,2016,188,Speed Champions
75872-1,Audi R18 e-tron quattro,2016,169,Speed Champions
75873-1,Audi R8 LMS ultra,2016,178,Speed Champions
75874-1,Chevrolet Camaro Drag Race,2016,448,Speed Champions
75875-1,Ford F-150 Raptor & Ford Model A Hot Rod,2016,672,Speed Champions
75876-1,Porsche 919 Hybrid and 917K Pit Lane,2016,743,Speed Champions
75877-1,Mercedes-AMG GT3,2017,203,Speed Champions
75878-1,Bugatti Chiron,2017,188,Speed Champions
75879-1,Scuderia Ferrari SF16-H,2017,184,Speed Champions
75880-1,McLaren 720S,2017,168,Speed Champions
75881-1,2016 Ford GT & 1966 Ford GT40,2017,373,Speed Champions
75882-1,Ferrari FXX K & Development Center,2017,496,Speed Champions
75883-1,MERCEDES AMG PETRONAS Formula One Team,2017,963,Speed Champions
75884-1,1968 Ford Mustang Fastback,2018,183,Speed Champions
75885-1,Ford Fiesta M-Sport WRC,2018,210,Speed Champions
75886-1,"Ferrari 488 GT3 ""Scuderia Corsa""",2018,186,Speed Champions
75887-1,Porsche 919 Hybrid,2018,170,Speed Champions
75888-1,Porsche 911 RSR and 911 Turbo 3.0,2018,398,Speed Champions
75889-1,Ferrari Ultimate Garage,2018,856,Speed Champions
75890-1,Ferrari F40 Competizione,2019,204,Speed Champions
75891-1,Chevrolet Camaro ZL1 Race Car,2019,198,Speed Champions
75892-1,McLaren Senna,2019,222,Speed Champions
75893-1,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,2019,485,Speed Champions
75894-1,1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,2019,496,Speed Champions
75895-1,1974 Porsche 911 Turbo 3.0,2019,180,Speed Champions
75899-1,LaFerrari,2015,167,Speed Champions
75908-1,458 Italia GT2,2015,156,Speed Champions
75909-1,McLaren P1,2015,171,Speed Champions
75910-1,Porsche 918 Spyder,2015,154,Speed Champions
75911-1,McLaren Mercedes Pit Stop,2015,340,Speed Champions
75912-1,Porsche 911 GT Finish Line,2015,573,Speed Champions
75913-1,F14 T & Scuderia Ferrari Truck,2015,892,Speed Champions
75995-1,MERCEDES-AMG PETRONAS Team Gift 2017,2017,127,Speed Champions
76895-1,Ferrari F8 Tributo,2020,278,Speed Champions
76896-1,Nissan GT-R NISMO,2020,301,Speed Champions
76897-1,1985 Audi Sport quattro S1,2020,253,Speed Champions
76898-1,Formula E Panasonic Jaguar Racing GEN2 car & Jaguar I-PACE eTROPHY,2020,571,Speed Champions
76899-1,Lamborghini Urus ST-X & Lamborghini Huracán Super Trofeo EVO,2020,666,Speed Champions
76900-1,Koenigsegg Jesko,2021,287,Speed Champions
76901-1,Toyota GR Supra,2021,306,Speed Champions
76902-1,McLaren Elva,2021,270,Speed Champions
76903-1,Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette,2021,519,Speed Champions
76904-1,Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A,2021,627,Speed Champions
76905-1,Ford GT Heritage Edition and Bronco R,2021,674,Speed Champions
76906-1,1970 Ferrari 512 M,2022,291,Speed Champions
76907-1,Lotus Evija,2022,254,Speed Champions
76908-1,Lamborghini Countach,2022,262,Speed Champions
76909-1,Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,2022,571,Speed Champions
76910-1,Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3,2022,599,Speed Champions
76911-1,Aston Martin DB5,2022,298,Speed Champions
76912-1,Fast & Furious 1970 Dodge Charger R/T,2022,345,Speed Champions
76914-1,Ferrari 812 Competizione,2023,268,Speed Champions
76915-1,Pagani Utopia,2023,256,Speed Champions
76916-1,Porsche 963,2023,287,Speed Champions
76917-1,2 Fast 2 Furious Nissan Skyline GT-R (R34),2023,319,Speed Champions
76918-1,McLaren Solus GT & McLaren F1 LM,2023,587,Speed Champions
TRUPODIUM-1,Winner's Podium,2016,40,Speed Champions
121801-1,Baby Raptor and Nest,2018,23,Jurassic World
121802-1,Owen and Lookout Tower,2018,39,Jurassic World
121903-1,Raptor Ambush,2019,33,Jurassic World
121904-1,Owen with Baby Raptor,2019,7,Jurassic World
122005-1,Tyrannosaurus Rex,2020,65,Jurassic World
122006-1,Triceratops,2020,65,Jurassic World
122007-1,Owen with Canoe,2020,17,Jurassic World
122008-1,Create Dino,2020,28,Jurassic World
122009-1,Vic Hoskins with Buggy,2020,35,Jurassic World
122010-1,Baby Dino Transport,2020,26,Jurassic World
122111-1,Stegosaurus,2020,64,Jurassic World
122112-1,Dr. Wu's Laboratory,2021,15,Jurassic World
122113-1,Owen with Helicopter,2021,31,Jurassic World
122114-1,Owen Grady and Red Motorbike,2021,14,Jurassic World
122115-1,Dilophosaurus,2021,67,Jurassic World
122116-1,Sinjin Prescott with Buggy,2021,30,Jurassic World
122217-1,Raptor and Hideout,2022,23,Jurassic World
122218-1,Tyrannosaurus Rex,2022,57,Jurassic World
122219-1,Raptor with Breeding Station,2022,37,Jurassic World
122220-1,Owen with Airboat,2022,31,Jurassic World
122221-1,Raptor and Nest,2022,23,Jurassic World
122222-1,Dino-Trap,2022,28,Jurassic World
122223-1,Owen and Quad,2022,37,Jurassic World
122224-1,Rainn Delacourt with Raptor,2022,34,Jurassic World
122225-1,Blue Raptor,2022,60,Jurassic World
122326-1,Raptor and Trap,2023,20,Jurassic World
122327-1,Baby Raptor with Incubator,2023,20,Jurassic World
122328-1,Owen with Jet Pack and Raptor,2023,23,Jurassic World
122329-1,Pyroraptor,2023,71,Jurassic World
122330-1,Raptor with Big Trap,2023,30,Jurassic World
30320-1,Gallimimus Trap,2015,29,Jurassic World
30382-1,Baby Velociraptor Playpen,2018,48,Jurassic World
30390-1,Dinosaur Market,2022,34,Jurassic World
4000031-1,Exclusive T. Rex,2018,70,Jurassic World
5000193818-1,Dr. Wu,2015,5,Jurassic World
5008022-1,Jurassic Park Anniversary T-Rex,2023,44,Jurassic World
75915-1,Pteranodon Capture,2015,174,Jurassic World
75916-1,Dilophosaurus Ambush,2015,248,Jurassic World
75917-1,Raptor Rampage,2015,324,Jurassic World
75918-1,T-Rex Tracker,2015,521,Jurassic World
75919-1,Indominus rex Breakout,2015,1156,Jurassic World
75920-1,Raptor Escape,2015,394,Jurassic World
75926-1,Pteranodon Chase,2018,126,Jurassic World
75927-1,Stygimoloch Breakout,2018,222,Jurassic World
75928-1,Blue's Helicopter Pursuit,2018,397,Jurassic World
75929-1,Carnotaurus Gyrosphere Escape,2018,577,Jurassic World
75930-1,Indoraptor Rampage at Lockwood,2018,1019,Jurassic World
75931-1,Dilophosaurus Outpost Attack,2018,289,Jurassic World
75932-1,Jurassic Park Velociraptor Chase,2018,360,Jurassic World
75933-1,T-Rex Transport,2018,609,Jurassic World
75934-1,Dilophosaurus on the Loose,2019,168,Jurassic World
75935-1,Baryonyx Face-Off: The Treasure Hunt,2019,434,Jurassic World
75936-1,Jurassic Park: T. rex Rampage,2019,3120,Jurassic World
75937-1,Triceratops Rampage,2019,447,Jurassic World
75938-1,T. rex vs Dino-Mech Battle,2019,716,Jurassic World
75939-1,Dr. Wu's Lab: Baby Dinosaurs Breakout,2020,164,Jurassic World
75940-1,Gallimimus and Pteranodon Breakout,2020,392,Jurassic World
75941-1,Indominus rex vs. Ankylosaurus,2020,537,Jurassic World
75942-1,Velociraptor: Biplane Rescue Mission​,2020,101,Jurassic World
76939-1,Stygimoloch Dinosaur Escape,2021,129,Jurassic World
76940-1,T. rex Dinosaur Fossil Exhibition,2021,198,Jurassic World
76941-1,Carnotaurus Dinosaur Chase,2021,240,Jurassic World
76942-1,Baryonyx Dinosaur Boat Escape,2021,309,Jurassic World
76943-1,Pteranodon Chase,2022,94,Jurassic World
76944-1,T. rex Dinosaur Breakout,2022,140,Jurassic World
76945-1,Atrociraptor Dinosaur: Bike Chase,2022,169,Jurassic World
76946-1,Blue & Beta Velociraptor Capture,2022,181,Jurassic World
76947-1,Quetzalcoatlus Plane Ambush,2022,306,Jurassic World
76948-1,T. rex & Atrociraptor Dinosaur Breakout,2022,466,Jurassic World
76949-1,Giganotosaurus & Therizinosaurus Attack,2022,810,Jurassic World
76950-1,Triceratops Pickup Truck Ambush,2022,210,Jurassic World
76951-1,Pyroraptor & Dilophosaurus Transport,2022,254,Jurassic World
76956-1,T. Rex Breakout,2022,1212,Jurassic World
76957-1,Velociraptor Escape,2023,137,Jurassic World
76958-1,Dilophosaurus Ambush,2023,211,Jurassic World
76959-1,Triceratops Research,2023,281,Jurassic World
76960-1,Brachiosaurus Discovery,2023,512,Jurassic World
76961-1,Visitor Center: T. rex & Raptor Attack,2023,693,Jurassic World
9788325340155-1,Jurassic World: Time to play!,2022,7,Jurassic World
9788325341343-1,Jurassic World: Zostań Treserem Donozaurów,2023,7,Jurassic World
BLUE-1,Blue,2018,47,Jurassic World
TRUJEEP-1,Jeep,2022,48,Jurassic World
TRUJWGATE-1,Jurassic World Gate,2015,63,Jurassic World
TRUTRICERATOPS-1,Triceratops,2018,30,Jurassic World
TRUTRICERATOPS-2,Triceratops,2022,29,Jurassic World
TYRANNOSAURUS-1,Tyrannosaurus,2018,41,Jurassic World
30601-1,Scooby-Doo,2016,2,Scooby-Doo
5004810-1,Scooby-Doo Collection,2015,0,Scooby-Doo
75900-1,Mummy Museum Mystery,2015,110,Scooby-Doo
